symbol,primary
sh600519,paper/pd_sh600519.csv
sz000858,paper/pd_sz000858.csv
sh600036,paper/pd_sh600036.csv
sh601318,paper/pd_sh601318.csv
sh600900,paper/pd_sh600900.csv
sz000333,paper/pd_sz000333.csv
sz300750,paper/pd_sz300750.csv
sh600276,paper/pd_sh600276.csv
sh601088,paper/pd_sh601088.csv
sh600030,paper/pd_sh600030.csv
