date,status,picks,prev_picks,turnover,gross_ret,net_ret
2026-06-11,closed,sh600208;sz000039;sz301316,,1.0,0.1015955757723062,0.0995955757723062
2026-06-18,open,sz000039;sh600208;sz301316,sh600208;sz000039;sz301316,0.0,,
